label,content,clean,norm,stop,token,stem
positif,keren,keren, keren , keren ,['keren'],keren
negatif,iklane Blibli ganggu mending nek gawe iklan video AE dari pada cuman gambar tanda silange nek pojok sisian rak ISO dipincet,iklane blibli ganggu mending nek gawe iklan video ae dari pada cuman gambar tanda silange nek pojok sisian rak iso dipincet, iklane blibli ganggu mending nek gawe iklan video ae dari pada cuman gambar tanda silange nek pojok sisian rak iso dipincet , iklane blibli ganggu mending nek gawe iklan video ae pada cuman gambar tanda silange nek pojok sisian rak iso dipincet ,"['iklane', 'blibli', 'ganggu', 'mending', 'nek', 'gawe', 'iklan', 'video', 'ae', 'pada', 'cuman', 'gambar', 'tanda', 'silange', 'nek', 'pojok', 'sisian', 'rak', 'iso', 'dipincet']",iklane blibli ganggu mending nek gawe iklan video ae pada cuman gambar tanda silange nek pojok sisi rak iso dipincet
positif,"produk asli, pengiriman cepat ✌️",produk asli pengiriman cepat, produk asli pengiriman cepat , produk asli pengiriman cepat ,"['produk', 'asli', 'pengiriman', 'cepat']",produk asli kirim cepat
positif,bagus lengkap,bagus lengkap, bagus lengkap , bagus lengkap ,"['bagus', 'lengkap']",bagus lengkap
positif,nice app,nice app, nice app , nice app ,"['nice', 'app']",nice app
positif,gampang dan praktis,gampang dan praktis, gampang dan praktis , gampang praktis ,"['gampang', 'praktis']",gampang praktis
positif,belinya aman dan nyaman,belinya aman dan nyaman, belinya aman dan nyaman , belinya aman nyaman ,"['belinya', 'aman', 'nyaman']",beli aman nyaman
positif,"BLIBLI emang punya ekspidisi sendiri , karna saya mantan kurir blibli",blibli emang punya ekspidisi sendiri karna saya mantan kurir blibli, blibli emang punya ekspidisi sendiri karna saya mantan kurir blibli , blibli emang punya ekspidisi sendiri karna mantan kurir blibli ,"['blibli', 'emang', 'punya', 'ekspidisi', 'sendiri', 'karna', 'mantan', 'kurir', 'blibli']",blibli emang punya ekspidisi sendiri karna mantan kurir blibli
positif,Barang selalu ori dan murah,barang selalu ori dan murah, barang selalu ori dan murah , barang selalu ori murah ,"['barang', 'selalu', 'ori', 'murah']",barang selalu ori murah
positif,mantapp!!!,mantapp, mantapp , mantapp ,['mantapp'],mantapp
positif,mantap deh promonya,mantap deh promonya, mantap deh promonya , mantap deh promonya ,"['mantap', 'deh', 'promonya']",mantap deh promonya
negatif,anj notifnya ngagetin banget auto uninstal bikin malu cuk,anj notifnya ngagetin banget auto uninstal bikin malu cuk, anj notifnya ngagetin banget auto uninstal bikin malu cuk , anj notifnya ngagetin banget auto uninstal bikin malu cuk ,"['anj', 'notifnya', 'ngagetin', 'banget', 'auto', 'uninstal', 'bikin', 'malu', 'cuk']",anj notifnya ngagetin banget auto uninstal bikin malu cuk
positif,mantappp,mantappp, mantappp , mantappp ,['mantappp'],mantappp
negatif,"Aplikasi sudah terkenal dan sudah lama pesan barang toko belum proses resi belum muncul tidak bisa batalkan muncul notifikasi gangguan cobalagi dicoba berulang² kali jeda beberapa menit beberapa jam tetap tidak bisa, chat cs pembayaran Qris tidak bisa dibatalkan, Kaya pemula banget batalkan doang apa susahnya jika tidak bisa mngembalikan saldo Qris bisa masukan kesaldo blipay, aplikasi lain bisa batalkan pesanan jika belum muncul resi bahkan sudah muncul resi bisa dibatalkan juga",aplikasi sudah terkenal dan sudah lama pesan barang toko belum proses resi belum muncul tidak bisa batalkan muncul notifikasi gangguan cobalagi dicoba berulang kali jeda beberapa menit beberapa jam tetap tidak bisa chat cs pembayaran qris tidak bisa dibatalkan kaya pemula banget batalkan doang apa susahnya jika tidak bisa mngembalikan saldo qris bisa masukan kesaldo blipay aplikasi lain bisa batalkan pesanan jika belum muncul resi bahkan sudah muncul resi bisa dibatalkan juga, aplikasi sudah terkenal dan sudah lama pesan barang toko belum proses resi belum muncul tidak bisa batalkan muncul notifikasi gangguan cobalagi dicoba berulang kali jeda beberapa menit beberapa jam tetap tidak bisa chat cs pembayaran qris tidak bisa dibatalkan kaya pemula banget batalkan doang apa susahnya jika tidak bisa mngembalikan saldo qris bisa masukan kesaldo blipay aplikasi lain bisa batalkan pesanan jika belum muncul resi bahkan sudah muncul resi bisa dibatalkan juga , aplikasi terkenal sudah lama pesan barang toko proses resi muncul batalkan muncul notifikasi gangguan cobalagi dicoba berulang kali jeda menit jam tetap chat cs pembayaran qris dibatalkan kaya pemula banget batalkan doang susahnya tidak bisa mngembalikan saldo qris bisa masukan kesaldo blipay aplikasi bisa batalkan pesanan belum muncul resi sudah muncul resi bisa dibatalkan ,"['aplikasi', 'terkenal', 'sudah', 'lama', 'pesan', 'barang', 'toko', 'proses', 'resi', 'muncul', 'batalkan', 'muncul', 'notifikasi', 'gangguan', 'cobalagi', 'dicoba', 'berulang', 'kali', 'jeda', 'menit', 'jam', 'tetap', 'chat', 'cs', 'pembayaran', 'qris', 'dibatalkan', 'kaya', 'pemula', 'banget', 'batalkan', 'doang', 'susahnya', 'tidak', 'bisa', 'mngembalikan', 'saldo', 'qris', 'bisa', 'masukan', 'kesaldo', 'blipay', 'aplikasi', 'bisa', 'batalkan', 'pesanan', 'belum', 'muncul', 'resi', 'sudah', 'muncul', 'resi', 'bisa', 'dibatalkan']",aplikasi kenal sudah lama pesan barang toko proses resi muncul batal muncul notifikasi ganggu cobalagi coba ulang kali jeda menit jam tetap chat cs bayar qris batal kaya mula banget batal doang susah tidak bisa mngembalikan saldo qris bisa masuk saldo blipay aplikasi bisa batal pesan belum muncul resi sudah muncul resi bisa batal
negatif,"parah semua promo dan vocher selalu di cancle, pake vocher BCA dicancle, vocher referal cancle vocher toko cancle paraaaahhh",parah semua promo dan vocher selalu di cancle pake vocher bca dicancle vocher referal cancle vocher toko cancle paraaaahhh, parah semua promo dan vocher selalu di cancle pake vocher bca dicancle vocher referal cancle vocher toko cancle paraaaahhh , parah semua promo vocher selalu cancle pake vocher bca dicancle vocher referal cancle vocher toko cancle paraaaahhh ,"['parah', 'semua', 'promo', 'vocher', 'selalu', 'cancle', 'pake', 'vocher', 'bca', 'dicancle', 'vocher', 'referal', 'cancle', 'vocher', 'toko', 'cancle', 'paraaaahhh']",parah semua promo vocher selalu cancle pake vocher bca dicancle vocher referal cancle vocher toko cancle paraaaahhh
negatif,sistem nya aneh setiap mau batalkan pesanan sistem eror mulu,sistem nya aneh setiap mau batalkan pesanan sistem eror mulu, sistem nya aneh setiap mau batalkan pesanan sistem eror mulu , sistem nya aneh mau batalkan pesanan sistem eror mulu ,"['sistem', 'nya', 'aneh', 'mau', 'batalkan', 'pesanan', 'sistem', 'eror', 'mulu']",sistem nya aneh mau batal pesan sistem eror mulu
negatif,"Ribet banget kalau mau tanya produk dibliblu,, bertele tele,,, trus yg jawab bukan brand langsung tapi cs blibli,, jadi a u a u jawabnya,, capek ngetiknya,,ribet daah",ribet banget kalau mau tanya produk dibliblu bertele tele trus yg jawab bukan brand langsung tapi cs blibli jadi a u a u jawabnya capek ngetiknyaribet daah, ribet banget kalau mau tanya produk dibliblu bertele tele trus yang jawab bukan brand langsung tapi cs blibli jadi a u a u jawabnya capek ngetiknyaribet daah , ribet banget mau tanya produk dibliblu bertele tele trus jawab brand langsung cs blibli jadi a u a u jawabnya capek ngetiknyaribet daah ,"['ribet', 'banget', 'mau', 'tanya', 'produk', 'dibliblu', 'bertele', 'tele', 'trus', 'jawab', 'brand', 'langsung', 'cs', 'blibli', 'jadi', 'a', 'u', 'a', 'u', 'jawabnya', 'capek', 'ngetiknyaribet', 'daah']",ribet banget mau tanya produk dibliblu tele tele trus jawab brand langsung cs blibli jadi a u a u jawab capek ngetiknyaribet daah
positif,banyak promo gais,banyak promo gais, banyak promo gais , promo gais ,"['promo', 'gais']",promo gais
positif,mudah dan bagus productnya,mudah dan bagus productnya, mudah dan bagus productnya , mudah bagus productnya ,"['mudah', 'bagus', 'productnya']",mudah bagus productnya
positif,"harusnya bintang 5,tp sekarang pengiriman lama,g Kya dlu cepet .bahkan sdh d gudang..tdk d antar2 🥺, tolong pengiriman lebih baik lagi🙏",harusnya bintang 5tp sekarang pengiriman lamag kya dlu cepet bahkan sdh d gudangtdk d antar2 tolong pengiriman lebih baik lagi, harusnya bintang 5tp sekarang pengiriman lamag kya dlu cepet bahkan sdh d gudangtdk d antar2 tolong pengiriman lebih baik lagi , harusnya bintang 5tp sekarang pengiriman lamag kya dlu cepet sdh d gudangtdk d antar2 pengiriman baik ,"['harusnya', 'bintang', '5tp', 'sekarang', 'pengiriman', 'lamag', 'kya', 'dlu', 'cepet', 'sdh', 'd', 'gudangtdk', 'd', 'antar2', 'pengiriman', 'baik']",harus bintang 5tp sekarang kirim lamag kya dlu cepet sdh d gudangtdk d antar2 kirim baik
positif,"proses sangat mudah dan cepat, tidak ribet, mudah dan lengkap, memudahkan kalau sdh lansia dan gaptek seperti saya 😆",proses sangat mudah dan cepat tidak ribet mudah dan lengkap memudahkan kalau sdh lansia dan gaptek seperti saya, proses sangat mudah dan cepat tidak ribet mudah dan lengkap memudahkan kalau sdh lansia dan gaptek seperti saya , proses mudah cepat ribet mudah lengkap memudahkan sdh lansia gaptek saya ,"['proses', 'mudah', 'cepat', 'ribet', 'mudah', 'lengkap', 'memudahkan', 'sdh', 'lansia', 'gaptek', 'saya']",proses mudah cepat ribet mudah lengkap mudah sdh lansia gaptek saya
negatif,"biaya admin/komisi sangat tidak masak akal masak pesanan produk 79rb potongan nya sampai 8,327 rupiah.sangat tidak rekomen",biaya adminkomisi sangat tidak masak akal masak pesanan produk 79rb potongan nya sampai 8327 rupiahsangat tidak rekomen, biaya adminkomisi sangat tidak masak akal masak pesanan produk 79rb potongan nya sampai 8327 rupiahsangat tidak rekomen , biaya adminkomisi masak akal masak pesanan produk 79rb potongan nya 8327 rupiahsangat tidak rekomen ,"['biaya', 'adminkomisi', 'masak', 'akal', 'masak', 'pesanan', 'produk', '79rb', 'potongan', 'nya', '8327', 'rupiahsangat', 'tidak', 'rekomen']",biaya adminkomisi masak akal masak pesan produk 79rb potong nya 8327 rupiahsangat tidak rekomen
positif,Mantap Blibli,mantap blibli, mantap blibli , mantap blibli ,"['mantap', 'blibli']",mantap blibli
positif,puas,puas, puas , puas ,['puas'],puas
positif,barang original dan sangat membantu,barang original dan sangat membantu, barang original dan sangat membantu , barang original sangat membantu ,"['barang', 'original', 'sangat', 'membantu']",barang original sangat bantu
netral,free download blibli: shopping,free download blibli shopping, free download blibli shopping , free download blibli shopping ,"['free', 'download', 'blibli', 'shopping']",free download blibli shopping
negatif,Tukar tambah area semarang tidak bisa,tukar tambah area semarang tidak bisa, tukar tambah area semarang tidak bisa , tukar tambah area semarang bisa ,"['tukar', 'tambah', 'area', 'semarang', 'bisa']",tukar tambah area semarang bisa
positif,"mudah digunakan, dan gampang prosesnya",mudah digunakan dan gampang prosesnya, mudah digunakan dan gampang prosesnya , mudah digunakan gampang prosesnya ,"['mudah', 'digunakan', 'gampang', 'prosesnya']",mudah guna gampang proses
negatif,lihat influencer yg memviralkan customer dipukul oleh pihak store dan Blibli tidak ada sedikitpun membantu customer itu....,lihat influencer yg memviralkan customer dipukul oleh pihak store dan blibli tidak ada sedikitpun membantu customer itu, lihat influencer yang memviralkan customer dipukul oleh pihak store dan blibli tidak ada sedikitpun membantu customer itu , lihat influencer memviralkan customer dipukul pihak store blibli ada sedikitpun membantu customer ,"['lihat', 'influencer', 'memviralkan', 'customer', 'dipukul', 'pihak', 'store', 'blibli', 'ada', 'sedikitpun', 'membantu', 'customer']",lihat influencer memviralkan customer pukul pihak store blibli ada sedikit bantu customer
negatif,"Bali barang pake pay later pas di cancel ga balik lagi limitnya bilangnya udah balik pas di cek gaada, di suruh tunggu 10 hari sm adminnya tapi ttp ga balik",bali barang pake pay later pas di cancel ga balik lagi limitnya bilangnya udah balik pas di cek gaada di suruh tunggu 10 hari sm adminnya tapi ttp ga balik, bali barang pake pay later pas di cancel tidak balik lagi limitnya bilangnya udah balik pas di cek gaada di suruh tunggu 10 hari sm adminnya tapi ttp tidak balik , bali barang pake pay later pas cancel balik limitnya bilangnya udah balik pas cek gaada suruh tunggu 10 hari sm adminnya ttp balik ,"['bali', 'barang', 'pake', 'pay', 'later', 'pas', 'cancel', 'balik', 'limitnya', 'bilangnya', 'udah', 'balik', 'pas', 'cek', 'gaada', 'suruh', 'tunggu', '10', 'hari', 'sm', 'adminnya', 'ttp', 'balik']",bal barang pake pay later pas cancel balik limit bilang udah balik pas cek gaada suruh tunggu 10 hari sm adminnya ttp balik
negatif,"Sudah loginnya dipersulit, dari apk dialihkan ke web. pembayarannya juga ribet, pake ewallet akunnya harus sama dgn nmr yang pas daftar akun bb.",sudah loginnya dipersulit dari apk dialihkan ke web pembayarannya juga ribet pake ewallet akunnya harus sama dgn nmr yang pas daftar akun bb, sudah loginnya dipersulit dari apk dialihkan ke web pembayarannya juga ribet pake ewallet akunnya harus sama dgn nmr yang pas daftar akun bb , loginnya dipersulit apk dialihkan web pembayarannya ribet pake ewallet akunnya sama dgn nmr pas daftar akun bb ,"['loginnya', 'dipersulit', 'apk', 'dialihkan', 'web', 'pembayarannya', 'ribet', 'pake', 'ewallet', 'akunnya', 'sama', 'dgn', 'nmr', 'pas', 'daftar', 'akun', 'bb']",loginnya sulit apk alih web bayar ribet pake ewallet akun sama dgn nmr pas daftar akun bb
negatif,super jelek,super jelek, super jelek , super jelek ,"['super', 'jelek']",super jelek
positif,mantul,mantul, mantul , mantul ,['mantul'],mantul
negatif,"ongkir terlalu mahal padahal pengiriman dekat,gk bisa ambil ditempat",ongkir terlalu mahal padahal pengiriman dekatgk bisa ambil ditempat, ongkir terlalu mahal padahal pengiriman dekatgk bisa ambil ditempat , ongkir terlalu mahal padahal pengiriman dekatgk ambil ditempat ,"['ongkir', 'terlalu', 'mahal', 'padahal', 'pengiriman', 'dekatgk', 'ambil', 'ditempat']",ongkir terlalu mahal padahal kirim dekatgk ambil tempat
negatif,saya menyesal belanja lewat blibli.. paket nyasar dan blibli care tidak solutif serta menyalahkan pembeli,saya menyesal belanja lewat blibli paket nyasar dan blibli care tidak solutif serta menyalahkan pembeli, saya menyesal belanja lewat blibli paket nyasar dan blibli care tidak solutif serta menyalahkan pembeli , menyesal belanja lewat blibli paket nyasar blibli care solutif menyalahkan pembeli ,"['menyesal', 'belanja', 'lewat', 'blibli', 'paket', 'nyasar', 'blibli', 'care', 'solutif', 'menyalahkan', 'pembeli']",sesal belanja lewat blibli paket nyasar blibli care solutif salah beli
positif,gooodddd,gooodddd, gooodddd , gooodddd ,['gooodddd'],gooodddd
positif,mantap ngak ribet saya suka sekali siip semoga lancar,mantap ngak ribet saya suka sekali siip semoga lancar, mantap ngak ribet saya suka sekali siip semoga lancar , mantap ngak ribet suka sekali siip semoga lancar ,"['mantap', 'ngak', 'ribet', 'suka', 'sekali', 'siip', 'semoga', 'lancar']",mantap ngak ribet suka sekali siip moga lancar
negatif,gila penarikan dana dari bliblipay nya lama bener.... gk kebayang kalo bliblipay jadi e-wallet wah kacau,gila penarikan dana dari bliblipay nya lama bener gk kebayang kalo bliblipay jadi ewallet wah kacau, gila penarikan dana dari bliblipay nya lama bener gk kebayang kalo bliblipay jadi ewallet wah kacau , gila penarikan dana bliblipay nya lama bener gk kebayang kalo bliblipay jadi ewallet wah kacau ,"['gila', 'penarikan', 'dana', 'bliblipay', 'nya', 'lama', 'bener', 'gk', 'kebayang', 'kalo', 'bliblipay', 'jadi', 'ewallet', 'wah', 'kacau']",gila tari dana bliblipay nya lama bener gk bayang kalo bliblipay jadi ewallet wah kacau
positif,i like it...,i like it, i like it , i like it ,"['i', 'like', 'it']",i like it
positif,mantap yang penting amanah dan murah,mantap yang penting amanah dan murah, mantap yang penting amanah dan murah , mantap penting amanah murah ,"['mantap', 'penting', 'amanah', 'murah']",mantap penting amanah murah
positif,"tampilannya bagus, belanja jadi lebih mudah.",tampilannya bagus belanja jadi lebih mudah, tampilannya bagus belanja jadi lebih mudah , tampilannya bagus belanja jadi mudah ,"['tampilannya', 'bagus', 'belanja', 'jadi', 'mudah']",tampil bagus belanja jadi mudah
negatif,ribet ngajuin paylater nya padahal sudah saya buat sesuai ketentuan. dn itu juga pakai nomor perusahaan yg sesuai yltapi ga bisa aneh,ribet ngajuin paylater nya padahal sudah saya buat sesuai ketentuan dn itu juga pakai nomor perusahaan yg sesuai yltapi ga bisa aneh, ribet ngajuin paylater nya padahal sudah saya buat sesuai ketentuan dn itu juga pakai nomor perusahaan yang sesuai yltapi tidak bisa aneh , ribet ngajuin paylater nya padahal saya buat sesuai ketentuan dn juga pakai nomor perusahaan sesuai yltapi bisa aneh ,"['ribet', 'ngajuin', 'paylater', 'nya', 'padahal', 'saya', 'buat', 'sesuai', 'ketentuan', 'dn', 'juga', 'pakai', 'nomor', 'perusahaan', 'sesuai', 'yltapi', 'bisa', 'aneh']",ribet ngajuin paylater nya padahal saya buat sesuai tentu dn juga pakai nomor usaha sesuai yltapi bisa aneh
positif,sipppp,sipppp, sipppp , sipppp ,['sipppp'],sipppp
positif,"easy to use,,good benefit",easy to usegood benefit, easy to usegood benefit , easy to usegood benefit ,"['easy', 'to', 'usegood', 'benefit']",easy to usegood benefit
positif,mantap lebih satset daripada shopee,mantap lebih satset daripada shopee, mantap lebih satset daripada shopee , mantap satset shopee ,"['mantap', 'satset', 'shopee']",mantap satset shopee
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
netral,banyakin cashback,banyakin cashback, banyakin cashback , banyakin cashback ,"['banyakin', 'cashback']",banyakin cashback
negatif,"Sistem refund harus hold dulu, aplikasi sering error",sistem refund harus hold dulu aplikasi sering error, sistem refund harus hold dulu aplikasi sering error , sistem refund hold dulu aplikasi sering error ,"['sistem', 'refund', 'hold', 'dulu', 'aplikasi', 'sering', 'error']",sistem refund hold dulu aplikasi sering error
netral,uji coba dulu,uji coba dulu, uji coba dulu , uji coba dulu ,"['uji', 'coba', 'dulu']",uji coba dulu
positif,"sangat memuaskan , akan belanja selalu di Blibli",sangat memuaskan akan belanja selalu di blibli, sangat memuaskan akan belanja selalu di blibli , memuaskan belanja selalu blibli ,"['memuaskan', 'belanja', 'selalu', 'blibli']",muas belanja selalu blibli
negatif,"APK Gembel,Top Up Token Pln Dari Pagi Udah Mau Sore Ga Masuk2...duit udah dipotong 👎🏻",apk gembeltop up token pln dari pagi udah mau sore ga masuk2duit udah dipotong, apk gembeltop up token pln dari pagi udah mau sore tidak masuk2duit udah dipotong , apk gembeltop up token pln pagi udah mau sore masuk2duit udah dipotong ,"['apk', 'gembeltop', 'up', 'token', 'pln', 'pagi', 'udah', 'mau', 'sore', 'masuk2duit', 'udah', 'dipotong']",apk gembeltop up token pln pagi udah mau sore masuk2duit udah potong
positif,good,good, good , good ,['good'],good
positif,mantap 🔥🔥🔥🔥🔥,mantap, mantap , mantap ,['mantap'],mantap
netral,bekerja dan cari uang,bekerja dan cari uang, bekerja dan cari uang , bekerja cari uang ,"['bekerja', 'cari', 'uang']",kerja cari uang
positif,mantab Lah beli beli ..mutu terjamin..tingkatkan terus,mantab lah beli beli mutu terjamintingkatkan terus, mantab lah beli beli mutu terjamintingkatkan terus , mantab lah beli beli mutu terjamintingkatkan terus ,"['mantab', 'lah', 'beli', 'beli', 'mutu', 'terjamintingkatkan', 'terus']",mantab lah beli beli mutu terjamintingkatkan terus
negatif,parah tidak bisa COD,parah tidak bisa cod, parah tidak bisa cod , parah bisa cod ,"['parah', 'bisa', 'cod']",parah bisa cod
netral,bìntang 3 aja dlu krn baru pesen,bntang 3 aja dlu krn baru pesen, bntang 3 aja dlu krn baru pesen , bntang 3 aja dlu krn pesen ,"['bntang', '3', 'aja', 'dlu', 'krn', 'pesen']",bntang 3 aja dlu krn sen
negatif,Marahal barangna moal payu lah aplikasi kieu patut mah,marahal barangna moal payu lah aplikasi kieu patut mah, marahal barangna moal payu lah aplikasi kieu patut mah , marahal barangna moal payu lah aplikasi kieu patut mah ,"['marahal', 'barangna', 'moal', 'payu', 'lah', 'aplikasi', 'kieu', 'patut', 'mah']",marahal barangna moal payu lah aplikasi kieu patut mah
positif,mantap betulll,mantap betulll, mantap betulll , mantap betulll ,"['mantap', 'betulll']",mantap betulll
positif,good app. pakai cc blibliXbca ada cashback terus,good app pakai cc bliblixbca ada cashback terus, good app pakai cc bliblixbca ada cashback terus , good app pakai cc bliblixbca cashback terus ,"['good', 'app', 'pakai', 'cc', 'bliblixbca', 'cashback', 'terus']",good app pakai cc bliblixbca cashback terus
positif,top bgt,top bgt, top bgt , top bgt ,"['top', 'bgt']",top bgt
positif,Blibli mantap betul,blibli mantap betul, blibli mantap betul , blibli mantap betul ,"['blibli', 'mantap', 'betul']",blibli mantap betul
positif,keren,keren, keren , keren ,['keren'],keren
negatif,BAD bad Bad,bad bad bad, bad bad bad , bad bad bad ,"['bad', 'bad', 'bad']",bad bad bad
positif,"bermanfaat, mudah digunakan dan menyenangkan berbelanja di blibli",bermanfaat mudah digunakan dan menyenangkan berbelanja di blibli, bermanfaat mudah digunakan dan menyenangkan berbelanja di blibli , bermanfaat mudah digunakan menyenangkan berbelanja blibli ,"['bermanfaat', 'mudah', 'digunakan', 'menyenangkan', 'berbelanja', 'blibli']",manfaat mudah guna senang belanja blibli
negatif,banyak yg rugi di sini,banyak yg rugi di sini, banyak yang rugi di sini , yang rugi sini ,"['yang', 'rugi', 'sini']",yang rugi sini
positif,Blibli ok.,blibli ok, blibli ok , blibli ,['blibli'],blibli
negatif,apk gjls,apk gjls, apk gjls , apk gjls ,"['apk', 'gjls']",apk gjls
negatif,"bli bli pelit voucher pengguna baru, masa selalu habis terus, ga seperti platform lain begitu setelah daftar langsung bisa pakai voucher promo pengguna baru😪",bli bli pelit voucher pengguna baru masa selalu habis terus ga seperti platform lain begitu setelah daftar langsung bisa pakai voucher promo pengguna baru, bli bli pelit voucher pengguna baru masa selalu habis terus tidak seperti platform lain begitu setelah daftar langsung bisa pakai voucher promo pengguna baru , bli bli pelit voucher pengguna masa selalu habis terus seperti platform begitu daftar langsung pakai voucher promo pengguna ,"['bli', 'bli', 'pelit', 'voucher', 'pengguna', 'masa', 'selalu', 'habis', 'terus', 'seperti', 'platform', 'begitu', 'daftar', 'langsung', 'pakai', 'voucher', 'promo', 'pengguna']",bli bli pelit voucher guna masa selalu habis terus seperti platform begitu daftar langsung pakai voucher promo guna
negatif,"Bintang 1 aja dulu, kecewa banget! ada notif promo diskon 50% dengan metode pembayaran bliblipaylater, jadi antusias tuh. Pengajuan bliblipaylater harus upgrade bliblipay dulu, dan untuk upgrade bliblipay harus memiliki rekening blu, mulai mumet tuh. Daftar rekening blu sangat ribet tapi akhirnya selesai, buka bliblipay juga sudah, tapi setelah mengajukan bliblipaylater ""Pengajuan ditolak"" dengan alasan lokasi belum termasuk jangakauan layanan. HEBAT!",bintang 1 aja dulu kecewa banget ada notif promo diskon 50 dengan metode pembayaran bliblipaylater jadi antusias tuh pengajuan bliblipaylater harus upgrade bliblipay dulu dan untuk upgrade bliblipay harus memiliki rekening blu mulai mumet tuh daftar rekening blu sangat ribet tapi akhirnya selesai buka bliblipay juga sudah tapi setelah mengajukan bliblipaylater pengajuan ditolak dengan alasan lokasi belum termasuk jangakauan layanan hebat, bintang 1 aja dulu kecewa banget ada notif promo diskon 50 dengan metode pembayaran bliblipaylater jadi antusias tuh pengajuan bliblipaylater harus upgrade bliblipay dulu dan untuk upgrade bliblipay harus memiliki rekening blu mulai mumet tuh daftar rekening blu sangat ribet tapi akhirnya selesai buka bliblipay juga sudah tapi setelah mengajukan bliblipaylater pengajuan ditolak dengan alasan lokasi belum termasuk jangakauan layanan hebat , bintang 1 aja dulu kecewa banget notif promo diskon 50 metode pembayaran bliblipaylater jadi antusias tuh pengajuan bliblipaylater upgrade bliblipay dulu untuk upgrade bliblipay memiliki rekening blu mulai mumet tuh daftar rekening blu ribet akhirnya selesai buka bliblipay sudah setelah mengajukan bliblipaylater pengajuan ditolak alasan lokasi termasuk jangakauan layanan hebat ,"['bintang', '1', 'aja', 'dulu', 'kecewa', 'banget', 'notif', 'promo', 'diskon', '50', 'metode', 'pembayaran', 'bliblipaylater', 'jadi', 'antusias', 'tuh', 'pengajuan', 'bliblipaylater', 'upgrade', 'bliblipay', 'dulu', 'untuk', 'upgrade', 'bliblipay', 'memiliki', 'rekening', 'blu', 'mulai', 'mumet', 'tuh', 'daftar', 'rekening', 'blu', 'ribet', 'akhirnya', 'selesai', 'buka', 'bliblipay', 'sudah', 'setelah', 'mengajukan', 'bliblipaylater', 'pengajuan', 'ditolak', 'alasan', 'lokasi', 'termasuk', 'jangakauan', 'layanan', 'hebat']",bintang 1 aja dulu kecewa banget notif promo diskon 50 metode bayar bliblipaylater jadi antusias tuh aju bliblipaylater upgrade bliblipay dulu untuk upgrade bliblipay milik rekening blu mulai mumet tuh daftar rekening blu ribet akhir selesai buka bliblipay sudah telah aju bliblipaylater aju tolak alas lokasi masuk jangakauan layan hebat
positif,ok,ok, ok , ,[],
positif,keren pokoknya,keren pokoknya, keren pokoknya , keren pokoknya ,"['keren', 'pokoknya']",keren pokok
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
negatif,selisi harga sama orens dan hijau lumayan jau,selisi harga sama orens dan hijau lumayan jau, selisi harga sama orens dan hijau lumayan jau , selisi harga sama orens hijau lumayan jau ,"['selisi', 'harga', 'sama', 'orens', 'hijau', 'lumayan', 'jau']",lis harga sama orens hijau lumayan jau
positif,Joss banget,joss banget, joss banget , joss banget ,"['joss', 'banget']",joss banget
positif,good,good, good , good ,['good'],good
positif,cukup bagus dengan harganya,cukup bagus dengan harganya, cukup bagus dengan harganya , cukup bagus harganya ,"['cukup', 'bagus', 'harganya']",cukup bagus harga
negatif,"anjir iklan yg suka muncul ganggu bgt LG lihat YouTube tik tok mun cul mulu,dah download harganya ga da yg murah, ga da yg diskon dh gue coba",anjir iklan yg suka muncul ganggu bgt lg lihat youtube tik tok mun cul muludah download harganya ga da yg murah ga da yg diskon dh gue coba, anjir iklan yang suka muncul ganggu bgt lg lihat youtube tik tok mun cul muludah download harganya tidak da yang murah tidak da yang diskon dh gue coba , anjir iklan suka muncul ganggu bgt lg lihat youtube tik tok mun cul muludah download harganya da murah da diskon dh gue coba ,"['anjir', 'iklan', 'suka', 'muncul', 'ganggu', 'bgt', 'lg', 'lihat', 'youtube', 'tik', 'tok', 'mun', 'cul', 'muludah', 'download', 'harganya', 'da', 'murah', 'da', 'diskon', 'dh', 'gue', 'coba']",anjir iklan suka muncul ganggu bgt lg lihat youtube tik tok mun cul muludah download harga da murah da diskon dh gue coba
netral,👍,,  ,  ,[],
positif,ok,ok, ok , ,[],
negatif,"BUSUK BANGET. USER BARU, TAPI KODE PROMO PENGGUNA BARU GA BISA DIPAKAI. BAD BANGET 👎👎👎",busuk banget user baru tapi kode promo pengguna baru ga bisa dipakai bad banget, busuk banget user baru tapi kode promo pengguna baru tidak bisa dipakai bad banget , busuk banget user tapi kode promo pengguna tidak dipakai bad banget ,"['busuk', 'banget', 'user', 'tapi', 'kode', 'promo', 'pengguna', 'tidak', 'dipakai', 'bad', 'banget']",busuk banget user tapi kode promo guna tidak pakai bad banget
positif,hebat,hebat, hebat , hebat ,['hebat'],hebat
positif,baik baik saj,baik baik saj, baik baik saj , baik saj ,"['baik', 'saj']",baik saj
positif,ok,ok, ok , ,[],
